"symbol"	"ensemble_ID"	"entrez_ID"	"norm_exp"
"IKZF2"	"ENSG00000030419"	22807	0.531206965972438
"GRN"	"ENSG00000030582"	2896	0.584901380575951
"FAM13B"	"ENSG00000031003"	51306	0.631514479727784
"ARHGAP31"	"ENSG00000031081"	57514	0.363194523015116
"CENPQ"	"ENSG00000031691"	55166	0.369409218571539
"RANBP3"	"ENSG00000031823"	8498	0.591848723791707
"ARID4A"	"ENSG00000032219"	5926	0.630463237482476
"PNPLA6"	"ENSG00000032444"	10908	0.56825711133951
"IFT88"	"ENSG00000032742"	8100	0.451512366205084
"ALG1"	"ENSG00000033011"	56052	0.402560581893442
"ZCCHC8"	"ENSG00000033030"	55596	0.598401812773456
"ABCF2"	"ENSG00000033050"	10061	0.543407610032716
"CHPF2"	"ENSG00000033100"	768213	0.577798628075011
"LRRC7"	"ENSG00000033122"	57554	0.267007581298554
